# M=22, N=11, Vp=0.0, t=1.0, n=1, Vstart=-2.0, Vstop=2.0, Vstep=0.01, PBC
# start time 2022-01-22 01:48:41
#                       V#                 S₁(n=1)                 S₂(n=1)#                 S₃(n=1)#                 S₄(n=1)#                 S₅(n=1)#                 S₆(n=1)#                 S₇(n=1)#                 S₈(n=1)#                 S₉(n=1)#                S₁₀(n=1)               S₀₋₅(n=1)#
     -1.400000000000E+00      1.734116990328E-01      9.592700820782E-02      7.378879387795E-02      6.397535309039E-02      5.826882895210E-02      5.434829065675E-02      5.136429818124E-02      4.894201803708E-02      4.689141595010E-02      4.510549238103E-02      3.063370715861E-01
     -1.390000000000E+00      1.712243684045E-01      9.428792973199E-02      7.249493620437E-02      6.287923821178E-02      5.730160345125E-02      5.347523425784E-02      5.056553216116E-02      4.820473828685E-02      4.620657295236E-02      4.446624185528E-02      3.042451938819E-01
     -1.380000000000E+00      1.690503210403E-01      9.266789473778E-02      7.121731507735E-02      6.179614638323E-02      5.634483220416E-02      5.261063320685E-02      4.977363755269E-02      4.747305198875E-02      4.552628057464E-02      4.383068594927E-02      3.021540044942E-01
     -1.370000000000E+00      1.668894907094E-01      9.106673601548E-02      6.995575250440E-02      6.072594130545E-02      5.539842451169E-02      5.175443293520E-02      4.898858547917E-02      4.674694731655E-02      4.485053737828E-02      4.319882862106E-02      3.000633899147E-01
     -1.360000000000E+00      1.647418166494E-01      8.948429002517E-02      6.871007466319E-02      5.966849074305E-02      5.446229329964E-02      5.090658217612E-02      4.821035028274E-02      4.602641578257E-02      4.417934550908E-02      4.257067771448E-02      2.979732419518E-01
     -1.350000000000E+00      1.626072431837E-01      8.792039662587E-02      6.748011164664E-02      5.862366624625E-02      5.353635482221E-02      5.006703265550E-02      4.743890920481E-02      4.531145191005E-02      4.351271036578E-02      4.194624462963E-02      2.958834574125E-01
     -1.340000000000E+00      1.604857193714E-01      8.637489883094E-02      6.626569723092E-02      5.759134289598E-02      5.262052838975E-02      4.923573880750E-02      4.667424209076E-02      4.460205292852E-02      4.285064028971E-02      4.132554401234E-02      2.937939378071E-01
     -1.330000000000E+00      1.583771986841E-01      8.484764258693E-02      6.506666866417E-02      5.657139907031E-02      5.171473611881E-02      4.841265751284E-02      4.591633111703E-02      4.389821849058E-02      4.219314627442E-02      4.070859346158E-02      2.917045890754E-01
     -1.320000000000E+00      1.562816387097E-01      8.333847657381E-02      6.388286647386E-02      5.556371623007E-02      5.081890270276E-02      4.759774785812E-02      4.516516053901E-02      4.319995040869E-02      4.154024169383E-02      4.009541325363E-02      2.896153213314E-01
     -1.310000000000E+00      1.541990008794E-01      8.184725202413E-02      6.271413429104E-02      5.456817872221E-02      4.993295520099E-02      4.679097091430E-02      4.442071645807E-02      4.250725241048E-02      4.089194204789E-02      3.948602608217E-02      2.875260486258E-01
     -1.300000000000E+00      1.521292502159E-01      8.037382255967E-02      6.156031868967E-02      5.358467359916E-02      4.905682284541E-02      4.599228953312E-02      4.368298660648E-02      4.182012991139E-02      4.024826472452E-02      3.888045681325E-02      2.854366887256E-01
